time, s;kernel_delta_c, m3.kg-1
0;0.0000000E+00
25;-1.0045820E-04
50;-1.3938744E-04
75;-1.6616181E-04
100;-1.8666548E-04
125;-2.0331546E-04
150;-2.1732982E-04
175;-2.2941285E-04
200;-2.4001159E-04
225;-2.4942931E-04
250;-2.5788206E-04
275;-2.6552972E-04
300;-2.7249420E-04
325;-2.7887078E-04
350;-2.8473544E-04
375;-2.9014978E-04
400;-2.9516452E-04
425;-2.9982192E-04
450;-3.0415760E-04
475;-3.0820185E-04
500;-3.1198069E-04
525;-3.1551662E-04
550;-3.1882923E-04
575;-3.2193573E-04
600;-3.2485127E-04
625;-3.2758932E-04
650;-3.3016185E-04
675;-3.3257960E-04
700;-3.3485225E-04
725;-3.3698853E-04
750;-3.3899634E-04
775;-3.4088291E-04
800;-3.4265483E-04
825;-3.4431814E-04
850;-3.4587838E-04
875;-3.4734068E-04
900;-3.4870979E-04
925;-3.4999009E-04
950;-3.5118568E-04
975;-3.5230036E-04
1000;-3.5333770E-04
1025;-3.5430104E-04
1050;-3.5519349E-04
1075;-3.5601800E-04
1100;-3.5677736E-04
1125;-3.5747417E-04
1150;-3.5811089E-04
1175;-3.5868990E-04
1200;-3.5921339E-04
1225;-3.5968346E-04
1250;-3.6010214E-04
1275;-3.6047133E-04
1300;-3.6079284E-04
1325;-3.6106843E-04
1350;-3.6129973E-04
1375;-3.6148834E-04
1400;-3.6163578E-04
1425;-3.6174350E-04
1450;-3.6181289E-04
1475;-3.6184529E-04
1500;-3.6184199E-04
1525;-3.6180422E-04
1550;-3.6173316E-04
1575;-3.6162995E-04
1600;-3.6149569E-04
1625;-3.6133145E-04
1650;-3.6113823E-04
1675;-3.6091703E-04
1700;-3.6066877E-04
1725;-3.6039438E-04
1750;-3.6009475E-04
1775;-3.5977071E-04
1800;-3.5942308E-04
1825;-3.5905267E-04
1850;-3.5866025E-04
1875;-3.5824653E-04
1900;-3.5781226E-04
1925;-3.5735812E-04
1950;-3.5688476E-04
1975;-3.5639286E-04
2000;-3.5588303E-04
2025;-3.5535587E-04
2050;-3.5481199E-04
2075;-3.5425193E-04
2100;-3.5367626E-04
2125;-3.5308551E-04
2150;-3.5248019E-04
2175;-3.5186079E-04
2200;-3.5122781E-04
2225;-3.5058173E-04
2250;-3.4992296E-04
2275;-3.4925198E-04
2300;-3.4856921E-04
2325;-3.4787505E-04
2350;-3.4716991E-04
2375;-3.4645419E-04
2400;-3.4572824E-04
2425;-3.4499244E-04
2450;-3.4424715E-04
2475;-3.4349270E-04
2500;-3.4272943E-04
2525;-3.4195766E-04
2550;-3.4117770E-04
2575;-3.4038986E-04
2600;-3.3959443E-04
2625;-3.3879169E-04
2650;-3.3798193E-04
2675;-3.3716539E-04
2700;-3.3634237E-04
2725;-3.3551309E-04
2750;-3.3467781E-04
2775;-3.3383677E-04
2800;-3.3299018E-04
2825;-3.3213828E-04
2850;-3.3128129E-04
2875;-3.3041941E-04
2900;-3.2955283E-04
2925;-3.2868178E-04
2950;-3.2780643E-04
2975;-3.2692697E-04
3000;-3.2604358E-04
3025;-3.2515643E-04
3050;-3.2426570E-04
3075;-3.2337154E-04
3100;-3.2247413E-04
3125;-3.2157360E-04
3150;-3.2067012E-04
3175;-3.1976383E-04
3200;-3.1885487E-04
3225;-3.1794335E-04
3250;-3.1702946E-04
3275;-3.1611327E-04
3300;-3.1519493E-04
3325;-3.1427457E-04
3350;-3.1335230E-04
3375;-3.1242823E-04
3400;-3.1150247E-04
3425;-3.1057512E-04
3450;-3.0964629E-04
3475;-3.0871609E-04
3500;-3.0778461E-04
3525;-3.0685194E-04
3550;-3.0591817E-04
3575;-3.0498340E-04
3600;-3.0404769E-04
3625;-3.0311116E-04
3650;-3.0217387E-04
3675;-3.0123589E-04
3700;-3.0029732E-04
3725;-2.9935821E-04
3750;-2.9841864E-04
3775;-2.9747867E-04
3800;-2.9653839E-04
3825;-2.9559784E-04
3850;-2.9465710E-04
3875;-2.9371622E-04
3900;-2.9277525E-04
3925;-2.9183427E-04
3950;-2.9089332E-04
3975;-2.8995246E-04
4000;-2.8901174E-04
4025;-2.8807120E-04
4050;-2.8713090E-04
4075;-2.8619088E-04
4100;-2.8525119E-04
4125;-2.8431187E-04
4150;-2.8337296E-04
4175;-2.8243452E-04
4200;-2.8149656E-04
4225;-2.8055914E-04
4250;-2.7962230E-04
4275;-2.7868605E-04
4300;-2.7775044E-04
4325;-2.7681552E-04
4350;-2.7588130E-04
4375;-2.7494781E-04
4400;-2.7401510E-04
4425;-2.7308318E-04
4450;-2.7215209E-04
4475;-2.7122185E-04
4500;-2.7029249E-04
4525;-2.6936404E-04
4550;-2.6843651E-04
4575;-2.6750994E-04
4600;-2.6658435E-04
4625;-2.6565976E-04
4650;-2.6473619E-04
4675;-2.6381365E-04
4700;-2.6289218E-04
4725;-2.6197178E-04
4750;-2.6105249E-04
4775;-2.6013431E-04
4800;-2.5921726E-04
4825;-2.5830137E-04
4850;-2.5738664E-04
4875;-2.5647309E-04
4900;-2.5556074E-04
4925;-2.5464959E-04
4950;-2.5373967E-04
4975;-2.5283098E-04
5000;-2.5192355E-04
5025;-2.5101737E-04
5050;-2.5011247E-04
5075;-2.4920886E-04
5100;-2.4830654E-04
5125;-2.4740552E-04
5150;-2.4650582E-04
5175;-2.4560744E-04
5200;-2.4471040E-04
5225;-2.4381470E-04
5250;-2.4292035E-04
5275;-2.4202736E-04
5300;-2.4113573E-04
5325;-2.4024548E-04
5350;-2.3935661E-04
5375;-2.3846913E-04
5400;-2.3758303E-04
5425;-2.3669834E-04
5450;-2.3581506E-04
5475;-2.3493318E-04
5500;-2.3405272E-04
5525;-2.3317368E-04
5550;-2.3229607E-04
5575;-2.3141988E-04
5600;-2.3054513E-04
5625;-2.2967182E-04
5650;-2.2879994E-04
5675;-2.2792951E-04
5700;-2.2706053E-04
5725;-2.2619300E-04
5750;-2.2532693E-04
5775;-2.2446231E-04
5800;-2.2359915E-04
5825;-2.2273745E-04
5850;-2.2187722E-04
5875;-2.2101845E-04
5900;-2.2016115E-04
5925;-2.1930532E-04
5950;-2.1845095E-04
5975;-2.1759806E-04
6000;-2.1674664E-04
6025;-2.1589670E-04
6050;-2.1504823E-04
6075;-2.1420123E-04
6100;-2.1335572E-04
6125;-2.1251167E-04
6150;-2.1166911E-04
6175;-2.1082803E-04
6200;-2.0998842E-04
6225;-2.0915028E-04
6250;-2.0831363E-04
6275;-2.0747845E-04
6300;-2.0664476E-04
6325;-2.0581253E-04
6350;-2.0498179E-04
6375;-2.0415252E-04
6400;-2.0332473E-04
6425;-2.0249841E-04
6450;-2.0167356E-04
6475;-2.0085019E-04
6500;-2.0002829E-04
6525;-1.9920787E-04
6550;-1.9838891E-04
6575;-1.9757142E-04
6600;-1.9675540E-04
6625;-1.9594085E-04
6650;-1.9512777E-04
6675;-1.9431615E-04
6700;-1.9350599E-04
6725;-1.9269729E-04
6750;-1.9189005E-04
6775;-1.9108428E-04
6800;-1.9027996E-04
6825;-1.8947710E-04
6850;-1.8867568E-04
6875;-1.8787572E-04
6900;-1.8707722E-04
6925;-1.8628016E-04
6950;-1.8548454E-04
6975;-1.8469038E-04
7000;-1.8389765E-04
7025;-1.8310637E-04
7050;-1.8231653E-04
7075;-1.8152812E-04
7100;-1.8074115E-04
7125;-1.7995561E-04
7150;-1.7917150E-04
7175;-1.7838882E-04
7200;-1.7760757E-04
7225;-1.7682775E-04
7250;-1.7604934E-04
7275;-1.7527236E-04
7300;-1.7449679E-04
7325;-1.7372264E-04
7350;-1.7294991E-04
7375;-1.7217858E-04
7400;-1.7140866E-04
7425;-1.7064016E-04
7450;-1.6987306E-04
7475;-1.6910735E-04
7500;-1.6834305E-04
7525;-1.6758014E-04
7550;-1.6681864E-04
7575;-1.6605852E-04
7600;-1.6529979E-04
7625;-1.6454245E-04
7650;-1.6378650E-04
7675;-1.6303193E-04
7700;-1.6227874E-04
7725;-1.6152693E-04
7750;-1.6077649E-04
7775;-1.6002743E-04
7800;-1.5927974E-04
7825;-1.5853342E-04
7850;-1.5778846E-04
7875;-1.5704487E-04
7900;-1.5630264E-04
7925;-1.5556176E-04
7950;-1.5482224E-04
7975;-1.5408408E-04
8000;-1.5334726E-04
8025;-1.5261180E-04
8050;-1.5187768E-04
8075;-1.5114490E-04
8100;-1.5041347E-04
8125;-1.4968337E-04
8150;-1.4895461E-04
8175;-1.4822718E-04
8200;-1.4750108E-04
8225;-1.4677632E-04
8250;-1.4605288E-04
8275;-1.4533076E-04
8300;-1.4460996E-04
8325;-1.4389047E-04
8350;-1.4317231E-04
8375;-1.4245546E-04
8400;-1.4173992E-04
8425;-1.4102568E-04
8450;-1.4031276E-04
8475;-1.3960114E-04
8500;-1.3889081E-04
8525;-1.3818179E-04
8550;-1.3747405E-04
8575;-1.3676762E-04
8600;-1.3606247E-04
8625;-1.3535862E-04
8650;-1.3465605E-04
8675;-1.3395476E-04
8700;-1.3325475E-04
8725;-1.3255602E-04
8750;-1.3185856E-04
8775;-1.3116238E-04
8800;-1.3046747E-04
8825;-1.2977382E-04
8850;-1.2908145E-04
8875;-1.2839033E-04
8900;-1.2770048E-04
8925;-1.2701188E-04
8950;-1.2632454E-04
8975;-1.2563846E-04
9000;-1.2495363E-04
9025;-1.2427004E-04
9050;-1.2358770E-04
9075;-1.2290660E-04
9100;-1.2222675E-04
9125;-1.2154813E-04
9150;-1.2087075E-04
9175;-1.2019460E-04
9200;-1.1951969E-04
9225;-1.1884600E-04
9250;-1.1817355E-04
9275;-1.1750231E-04
9300;-1.1683230E-04
9325;-1.1616351E-04
9350;-1.1549593E-04
9375;-1.1482957E-04
9400;-1.1416442E-04
9425;-1.1350049E-04
9450;-1.1283775E-04
9475;-1.1217623E-04
9500;-1.1151590E-04
9525;-1.1085678E-04
9550;-1.1019886E-04
9575;-1.0954213E-04
9600;-1.0888660E-04
9625;-1.0823225E-04
9650;-1.0757910E-04
9675;-1.0692713E-04
9700;-1.0627635E-04
9725;-1.0562675E-04
9750;-1.0497833E-04
9775;-1.0433108E-04
9800;-1.0368502E-04
9825;-1.0304012E-04
9850;-1.0239640E-04
9875;-1.0175384E-04
9900;-1.0111245E-04
9925;-1.0047222E-04
9950;-9.9833162E-05
9975;-9.9195255E-05
10000;-9.8558505E-05
10025;-9.7922913E-05
10050;-9.7288468E-05
10075;-9.6655178E-05
10100;-9.6023038E-05
10125;-9.5392040E-05
10150;-9.4762185E-05
10175;-9.4133475E-05
10200;-9.3505903E-05
10225;-9.2879463E-05
10250;-9.2254167E-05
10275;-9.1629996E-05
10300;-9.1006960E-05
10325;-9.0385053E-05
10350;-8.9764267E-05
10375;-8.9144610E-05
10400;-8.8526072E-05
10425;-8.7908653E-05
10450;-8.7292353E-05
10475;-8.6677171E-05
10500;-8.6063099E-05
10525;-8.5450140E-05
10550;-8.4838288E-05
10575;-8.4227544E-05
10600;-8.3617903E-05
10625;-8.3009364E-05
10650;-8.2401927E-05
10675;-8.1795593E-05
10700;-8.1190346E-05
10725;-8.0586201E-05
10750;-7.9983148E-05
10775;-7.9381180E-05
10800;-7.8780303E-05
10825;-7.8180511E-05
10850;-7.7581804E-05
10875;-7.6984176E-05
10900;-7.6387630E-05
10925;-7.5792160E-05
10950;-7.5197765E-05
10975;-7.4604443E-05
11000;-7.4012201E-05
11025;-7.3421020E-05
11050;-7.2830910E-05
11075;-7.2241862E-05
11100;-7.1653875E-05
11125;-7.1066959E-05
11150;-7.0481093E-05
11175;-6.9896292E-05
11200;-6.9312543E-05
11225;-6.8729846E-05
11250;-6.8148198E-05
11275;-6.7567605E-05
11300;-6.6988061E-05
11325;-6.6409552E-05
11350;-6.5832094E-05
11375;-6.5255674E-05
11400;-6.4680296E-05
11425;-6.4105956E-05
11450;-6.3532655E-05
11475;-6.2960381E-05
11500;-6.2389142E-05
11525;-6.1818931E-05
11550;-6.1249752E-05
11575;-6.0681592E-05
11600;-6.0114461E-05
11625;-5.9548350E-05
11650;-5.8983257E-05
11675;-5.8419185E-05
11700;-5.7856131E-05
11725;-5.7294090E-05
11750;-5.6733058E-05
11775;-5.6173040E-05
11800;-5.5614033E-05
11825;-5.5056026E-05
11850;-5.4499028E-05
11875;-5.3943037E-05
11900;-5.3388043E-05
11925;-5.2834045E-05
11950;-5.2281050E-05
11975;-5.1729048E-05
12000;-5.1178038E-05
12025;-5.0628024E-05
12050;-5.0078995E-05
12075;-4.9530962E-05
12100;-4.8983906E-05
12125;-4.8437842E-05
12150;-4.7892756E-05
12175;-4.7348652E-05
12200;-4.6805530E-05
12225;-4.6263379E-05
12250;-4.5722207E-05
12275;-4.5182012E-05
12300;-4.4642782E-05
12325;-4.4104523E-05
12350;-4.3567235E-05
12375;-4.3030913E-05
12400;-4.2495552E-05
12425;-4.1961157E-05
12450;-4.1427725E-05
12475;-4.0895246E-05
12500;-4.0363731E-05
12525;-3.9833169E-05
12550;-3.9303559E-05
12575;-3.8774904E-05
12600;-3.8247198E-05
12625;-3.7720437E-05
12650;-3.7194626E-05
12675;-3.6669760E-05
12700;-3.6145838E-05
12725;-3.5622858E-05
12750;-3.5100813E-05
12775;-3.4579713E-05
12800;-3.4059547E-05
12825;-3.3540321E-05
12850;-3.3022018E-05
12875;-3.2504649E-05
12900;-3.1988212E-05
12925;-3.1472702E-05
12950;-3.0958114E-05
12975;-3.0444458E-05
13000;-2.9931716E-05
13025;-2.9419901E-05
13050;-2.8909001E-05
13075;-2.8399025E-05
13100;-2.7889959E-05
13125;-2.7381809E-05
13150;-2.6874574E-05
13175;-2.6368246E-05
13200;-2.5862828E-05
13225;-2.5358318E-05
13250;-2.4854715E-05
13275;-2.4352014E-05
13300;-2.3850217E-05
13325;-2.3349321E-05
13350;-2.2849324E-05
13375;-2.2350225E-05
13400;-2.1852016E-05
13425;-2.1354710E-05
13450;-2.0858289E-05
13475;-2.0362766E-05
13500;-1.9868129E-05
13525;-1.9374378E-05
13550;-1.8881515E-05
13575;-1.8389539E-05
13600;-1.7898441E-05
13625;-1.7408228E-05
13650;-1.6918890E-05
13675;-1.6430433E-05
13700;-1.5942852E-05
13725;-1.5456147E-05
13750;-1.4970318E-05
13775;-1.4485356E-05
13800;-1.4001263E-05
13825;-1.3518040E-05
13850;-1.3035684E-05
13875;-1.2554192E-05
13900;-1.2073571E-05
13925;-1.1593802E-05
13950;-1.1114899E-05
13975;-1.0636852E-05
14000;-1.0159664E-05
14025;-9.6833314E-06
14050;-9.2078545E-06
14075;-8.7332309E-06
14100;-8.2594531E-06
14125;-7.7865324E-06
14150;-7.3144571E-06
14175;-6.8432263E-06
14200;-6.3728397E-06
14225;-5.9032999E-06
14250;-5.4346006E-06
14275;-4.9667393E-06
14300;-4.4997200E-06
14325;-4.0335349E-06
14350;-3.5681913E-06
14375;-3.1036773E-06
14400;-2.6399948E-06
14425;-2.1771472E-06
14450;-1.7151255E-06
14475;-1.2539332E-06
14500;-7.9357341E-07
14525;-3.3403109E-07
14550;1.2468218E-07
14575;5.8257835E-07
14600;1.0396493E-06
14625;1.4959051E-06
14650;1.9513385E-06
14675;2.4059575E-06
14700;2.8597636E-06
14725;3.3127538E-06
14750;3.7649350E-06
14775;4.2163047E-06
14800;4.6668677E-06
14825;5.1166201E-06
14850;5.5655677E-06
14875;6.0137059E-06
14900;6.4610474E-06
14925;6.9075869E-06
14950;7.3533258E-06
14975;7.7982625E-06
15000;8.2424054E-06
15025;8.6857533E-06
15050;9.1283073E-06
15075;9.5700624E-06
15100;1.0011032E-05
15125;1.0451209E-05
15150;1.0890599E-05
15175;1.1329200E-05
15200;1.1767018E-05
15225;1.2204049E-05
15250;1.2640300E-05
15275;1.3075767E-05
15300;1.3510456E-05
15325;1.3944363E-05
15350;1.4377496E-05
15375;1.4809852E-05
15400;1.5241435E-05
15425;1.5672243E-05
15450;1.6102280E-05
15475;1.6531547E-05
15500;1.6960046E-05
15525;1.7387776E-05
15550;1.7814741E-05
15575;1.8240941E-05
15600;1.8666380E-05
15625;1.9091052E-05
15650;1.9514965E-05
15675;1.9938121E-05
15700;2.0360519E-05
15725;2.0782159E-05
15750;2.1203043E-05
15775;2.1623175E-05
15800;2.2042552E-05
15825;2.2461186E-05
15850;2.2879065E-05
15875;2.3296197E-05
15900;2.3712578E-05
15925;2.4128219E-05
15950;2.4543111E-05
15975;2.4957262E-05
16000;2.5370672E-05
16025;2.5783342E-05
16050;2.6195270E-05
16075;2.6606467E-05
16100;2.7016920E-05
16125;2.7426642E-05
16150;2.7835633E-05
16175;2.8243892E-05
16200;2.8651415E-05
16225;2.9058211E-05
16250;2.9464278E-05
16275;2.9869617E-05
16300;3.0274234E-05
16325;3.0678125E-05
16350;3.1081292E-05
16375;3.1483740E-05
16400;3.1885464E-05
16425;3.2286468E-05
16450;3.2686759E-05
16475;3.3086330E-05
16500;3.3485188E-05
16525;3.3883333E-05
16550;3.4280761E-05
16575;3.4677479E-05
16600;3.5073490E-05
16625;3.5468785E-05
16650;3.5863379E-05
16675;3.6257267E-05
16700;3.6650447E-05
16725;3.7042925E-05
16750;3.7434700E-05
16775;3.7825773E-05
16800;3.8216147E-05
16825;3.8605820E-05
16850;3.8994800E-05
16875;3.9383081E-05
16900;3.9770668E-05
16925;4.0157559E-05
16950;4.0543760E-05
16975;4.0929269E-05
17000;4.1314087E-05
17025;4.1698220E-05
17050;4.2081663E-05
17075;4.2464418E-05
17100;4.2846491E-05
17125;4.3227880E-05
17150;4.3608584E-05
17175;4.3988610E-05
17200;4.4367955E-05
17225;4.4746620E-05
17250;4.5124605E-05
17275;4.5501919E-05
17300;4.5878555E-05
17325;4.6254515E-05
17350;4.6629807E-05
17375;4.7004423E-05
17400;4.7378372E-05
17425;4.7751651E-05
17450;4.8124262E-05
17475;4.8496208E-05
17500;4.8867482E-05
17525;4.9238096E-05
17550;4.9608050E-05
17575;4.9977339E-05
17600;5.0345966E-05
17625;5.0713935E-05
17650;5.1081246E-05
17675;5.1447898E-05
17700;5.1813896E-05
17725;5.2179235E-05
17750;5.2543924E-05
17775;5.2907958E-05
17800;5.3271346E-05
17825;5.3634081E-05
17850;5.3996167E-05
17875;5.4357601E-05
17900;5.4718393E-05
17925;5.5078539E-05
17950;5.5438039E-05
17975;5.5796897E-05
18000;5.6155112E-05
18025;5.6512688E-05
18050;5.6869625E-05
18075;5.7225919E-05
18100;5.7581579E-05
18125;5.7936603E-05
18150;5.8290988E-05
18175;5.8644743E-05
18200;5.8997864E-05
18225;5.9350353E-05
18250;5.9702214E-05
18275;6.0053442E-05
18300;6.0404043E-05
18325;6.0754018E-05
18350;6.1103364E-05
18375;6.1452088E-05
18400;6.1800184E-05
18425;6.2147662E-05
18450;6.2494515E-05
18475;6.2840751E-05
18500;6.3186367E-05
18525;6.3531364E-05
18550;6.3875738E-05
18575;6.4219504E-05
18600;6.4562651E-05
18625;6.4905184E-05
18650;6.5247106E-05
18675;6.5588417E-05
18700;6.5929118E-05
18725;6.6269211E-05
18750;6.6608690E-05
18775;6.6947561E-05
18800;6.7285833E-05
18825;6.7623496E-05
18850;6.7960553E-05
18875;6.8297012E-05
18900;6.8632862E-05
18925;6.8968117E-05
18950;6.9302773E-05
18975;6.9636827E-05
19000;6.9970285E-05
19025;7.0303146E-05
19050;7.0635410E-05
19075;7.0967085E-05
19100;7.1298163E-05
19125;7.1628647E-05
19150;7.1958541E-05
19175;7.2287846E-05
19200;7.2616566E-05
19225;7.2944692E-05
19250;7.3272236E-05
19275;7.3599190E-05
19300;7.3925560E-05
19325;7.4251347E-05
19350;7.4576551E-05
19375;7.4901174E-05
19400;7.5225216E-05
19425;7.5548677E-05
19450;7.5871561E-05
19475;7.6193869E-05
19500;7.6515596E-05
19525;7.6836750E-05
19550;7.7157330E-05
19575;7.7477338E-05
19600;7.7796770E-05
