time, s;kernel_delta_c, m3.kg-1
0;0.0000000E+00
25;-4.5307797E-04
50;-6.3618273E-04
75;-7.5804640E-04
100;-8.5076600E-04
125;-9.2600449E-04
150;-9.8940465E-04
175;-1.0441805E-03
200;-1.0923540E-03
225;-1.1352888E-03
250;-1.1739522E-03
275;-1.2090581E-03
300;-1.2411495E-03
325;-1.2706499E-03
350;-1.2978966E-03
375;-1.3231630E-03
400;-1.3466738E-03
425;-1.3686162E-03
450;-1.3891478E-03
475;-1.4084028E-03
500;-1.4264963E-03
525;-1.4435278E-03
550;-1.4595841E-03
575;-1.4747411E-03
600;-1.4890659E-03
625;-1.5026180E-03
650;-1.5154504E-03
675;-1.5276104E-03
700;-1.5391408E-03
725;-1.5500800E-03
750;-1.5604631E-03
775;-1.5703217E-03
800;-1.5796849E-03
825;-1.5885791E-03
850;-1.5970289E-03
875;-1.6050566E-03
900;-1.6126831E-03
925;-1.6199275E-03
950;-1.6268077E-03
975;-1.6333403E-03
1000;-1.6395408E-03
1025;-1.6454236E-03
1050;-1.6510024E-03
1075;-1.6562898E-03
1100;-1.6612979E-03
1125;-1.6660379E-03
1150;-1.6705204E-03
1175;-1.6747555E-03
1200;-1.6787526E-03
1225;-1.6825209E-03
1250;-1.6860688E-03
1275;-1.6894045E-03
1300;-1.6925357E-03
1325;-1.6954698E-03
1350;-1.6982137E-03
1375;-1.7007742E-03
1400;-1.7031577E-03
1425;-1.7053703E-03
1450;-1.7074179E-03
1475;-1.7093060E-03
1500;-1.7110401E-03
1525;-1.7126252E-03
1550;-1.7140665E-03
1575;-1.7153686E-03
1600;-1.7165360E-03
1625;-1.7175733E-03
1650;-1.7184846E-03
1675;-1.7192740E-03
1700;-1.7199454E-03
1725;-1.7205027E-03
1750;-1.7209494E-03
1775;-1.7212891E-03
1800;-1.7215252E-03
1825;-1.7216610E-03
1850;-1.7216996E-03
1875;-1.7216441E-03
1900;-1.7214975E-03
1925;-1.7212625E-03
1950;-1.7209421E-03
1975;-1.7205388E-03
2000;-1.7200552E-03
2025;-1.7194939E-03
2050;-1.7188572E-03
2075;-1.7181475E-03
2100;-1.7173671E-03
2125;-1.7165182E-03
2150;-1.7156029E-03
2175;-1.7146232E-03
2200;-1.7135812E-03
2225;-1.7124788E-03
2250;-1.7113179E-03
2275;-1.7101003E-03
2300;-1.7088278E-03
2325;-1.7075021E-03
2350;-1.7061248E-03
2375;-1.7046976E-03
2400;-1.7032219E-03
2425;-1.7016995E-03
2450;-1.7001316E-03
2475;-1.6985197E-03
2500;-1.6968653E-03
2525;-1.6951697E-03
2550;-1.6934341E-03
2575;-1.6916598E-03
2600;-1.6898481E-03
2625;-1.6880002E-03
2650;-1.6861172E-03
2675;-1.6842003E-03
2700;-1.6822504E-03
2725;-1.6802688E-03
2750;-1.6782564E-03
2775;-1.6762143E-03
2800;-1.6741433E-03
2825;-1.6720445E-03
2850;-1.6699188E-03
2875;-1.6677670E-03
2900;-1.6655901E-03
2925;-1.6633888E-03
2950;-1.6611640E-03
2975;-1.6589164E-03
3000;-1.6566470E-03
3025;-1.6543563E-03
3050;-1.6520451E-03
3075;-1.6497142E-03
3100;-1.6473642E-03
3125;-1.6449958E-03
3150;-1.6426096E-03
3175;-1.6402062E-03
3200;-1.6377864E-03
3225;-1.6353506E-03
3250;-1.6328995E-03
3275;-1.6304336E-03
3300;-1.6279535E-03
3325;-1.6254596E-03
3350;-1.6229526E-03
3375;-1.6204329E-03
3400;-1.6179009E-03
3425;-1.6153573E-03
3450;-1.6128024E-03
3475;-1.6102366E-03
3500;-1.6076605E-03
3525;-1.6050744E-03
3550;-1.6024788E-03
3575;-1.5998740E-03
3600;-1.5972604E-03
3625;-1.5946384E-03
3650;-1.5920085E-03
3675;-1.5893708E-03
3700;-1.5867259E-03
3725;-1.5840739E-03
3750;-1.5814153E-03
