time, s;kernel_m_m, 1
0;0.0000000E+00
25;7.1055717E-03
50;1.8764788E-02
75;2.6884335E-02
100;3.3491462E-02
125;3.9240541E-02
150;4.4421141E-02
175;4.9189489E-02
200;5.3641044E-02
225;5.7839190E-02
250;6.1828564E-02
275;6.5642017E-02
300;6.9304560E-02
325;7.2835766E-02
350;7.6251291E-02
375;7.9563896E-02
400;8.2784142E-02
425;8.5920893E-02
450;8.8981671E-02
475;9.1972928E-02
500;9.4900246E-02
525;9.7768492E-02
550;1.0058194E-01
575;1.0334438E-01
600;1.0605917E-01
625;1.0872931E-01
650;1.1135750E-01
675;1.1394619E-01
700;1.1649757E-01
725;1.1901366E-01
750;1.2149629E-01
775;1.2394713E-01
800;1.2636772E-01
825;1.2875948E-01
850;1.3112371E-01
875;1.3346164E-01
900;1.3577437E-01
925;1.3806295E-01
950;1.4032836E-01
975;1.4257151E-01
1000;1.4479322E-01
1025;1.4699432E-01
1050;1.4917552E-01
1075;1.5133754E-01
1100;1.5348104E-01
1125;1.5560662E-01
1150;1.5771488E-01
1175;1.5980636E-01
1200;1.6188159E-01
1225;1.6394106E-01
1250;1.6598525E-01
1275;1.6801458E-01
1300;1.7002948E-01
1325;1.7203036E-01
1350;1.7401759E-01
1375;1.7599154E-01
1400;1.7795256E-01
1425;1.7990096E-01
1450;1.8183707E-01
1475;1.8376119E-01
1500;1.8567361E-01
1525;1.8757459E-01
1550;1.8946441E-01
1575;1.9134332E-01
1600;1.9321155E-01
1625;1.9506934E-01
1650;1.9691692E-01
1675;1.9875450E-01
1700;2.0058228E-01
1725;2.0240046E-01
1750;2.0420923E-01
1775;2.0600878E-01
1800;2.0779927E-01
1825;2.0958090E-01
1850;2.1135380E-01
1875;2.1311816E-01
1900;2.1487411E-01
1925;2.1662181E-01
1950;2.1836139E-01
1975;2.2009300E-01
2000;2.2181677E-01
2025;2.2353283E-01
2050;2.2524130E-01
2075;2.2694231E-01
2100;2.2863596E-01
2125;2.3032239E-01
2150;2.3200168E-01
2175;2.3367396E-01
2200;2.3533932E-01
2225;2.3699786E-01
2250;2.3864969E-01
2275;2.4029489E-01
2300;2.4193356E-01
2325;2.4356578E-01
2350;2.4519165E-01
2375;2.4681125E-01
2400;2.4842466E-01
2425;2.5003195E-01
2450;2.5163321E-01
2475;2.5322852E-01
2500;2.5481793E-01
2525;2.5640154E-01
2550;2.5797940E-01
2575;2.5955159E-01
2600;2.6111816E-01
2625;2.6267919E-01
2650;2.6423473E-01
2675;2.6578486E-01
2700;2.6732962E-01
2725;2.6886908E-01
2750;2.7040329E-01
2775;2.7193230E-01
2800;2.7345618E-01
2825;2.7497498E-01
2850;2.7648874E-01
2875;2.7799752E-01
2900;2.7950137E-01
2925;2.8100033E-01
2950;2.8249445E-01
2975;2.8398377E-01
3000;2.8546835E-01
3025;2.8694823E-01
3050;2.8842345E-01
3075;2.8989404E-01
3100;2.9136006E-01
3125;2.9282155E-01
3150;2.9427853E-01
3175;2.9573106E-01
3200;2.9717916E-01
3225;2.9862288E-01
3250;3.0006225E-01
3275;3.0149731E-01
3300;3.0292809E-01
3325;3.0435463E-01
3350;3.0577696E-01
3375;3.0719511E-01
3400;3.0860911E-01
3425;3.1001900E-01
3450;3.1142481E-01
3475;3.1282656E-01
3500;3.1422430E-01
3525;3.1561804E-01
3550;3.1700781E-01
3575;3.1839365E-01
3600;3.1977558E-01
3625;3.2115362E-01
3650;3.2252781E-01
3675;3.2389817E-01
3700;3.2526473E-01
3725;3.2662751E-01
3750;3.2798654E-01
3775;3.2934183E-01
3800;3.3069343E-01
3825;3.3204134E-01
3850;3.3338559E-01
3875;3.3472620E-01
3900;3.3606321E-01
3925;3.3739662E-01
3950;3.3872646E-01
3975;3.4005275E-01
4000;3.4137552E-01
4025;3.4269478E-01
4050;3.4401055E-01
4075;3.4532286E-01
4100;3.4663172E-01
4125;3.4793715E-01
4150;3.4923918E-01
4175;3.5053781E-01
4200;3.5183307E-01
4225;3.5312498E-01
4250;3.5441356E-01
4275;3.5569882E-01
4300;3.5698078E-01
4325;3.5825945E-01
4350;3.5953486E-01
4375;3.6080702E-01
4400;3.6207595E-01
4425;3.6334167E-01
4450;3.6460418E-01
4475;3.6586351E-01
4500;3.6711967E-01
4525;3.6837267E-01
4550;3.6962254E-01
4575;3.7086928E-01
4600;3.7211292E-01
4625;3.7335346E-01
4650;3.7459092E-01
4675;3.7582532E-01
4700;3.7705666E-01
4725;3.7828497E-01
4750;3.7951025E-01
4775;3.8073252E-01
4800;3.8195180E-01
4825;3.8316809E-01
4850;3.8438141E-01
4875;3.8559177E-01
4900;3.8679918E-01
4925;3.8800366E-01
4950;3.8920523E-01
4975;3.9040388E-01
5000;3.9159963E-01
5025;3.9279251E-01
5050;3.9398251E-01
5075;3.9516964E-01
5100;3.9635393E-01
5125;3.9753538E-01
5150;3.9871401E-01
5175;3.9988982E-01
5200;4.0106282E-01
5225;4.0223303E-01
5250;4.0340046E-01
5275;4.0456512E-01
5300;4.0572701E-01
5325;4.0688616E-01
5350;4.0804256E-01
5375;4.0919623E-01
5400;4.1034719E-01
5425;4.1149543E-01
5450;4.1264097E-01
5475;4.1378383E-01
5500;4.1492400E-01
5525;4.1606150E-01
5550;4.1719634E-01
5575;4.1832853E-01
5600;4.1945808E-01
5625;4.2058499E-01
5650;4.2170928E-01
5675;4.2283096E-01
5700;4.2395003E-01
5725;4.2506651E-01
5750;4.2618039E-01
5775;4.2729170E-01
5800;4.2840044E-01
5825;4.2950662E-01
5850;4.3061024E-01
5875;4.3171132E-01
5900;4.3280986E-01
5925;4.3390588E-01
5950;4.3499938E-01
5975;4.3609036E-01
6000;4.3717885E-01
6025;4.3826484E-01
6050;4.3934834E-01
6075;4.4042936E-01
6100;4.4150792E-01
6125;4.4258401E-01
6150;4.4365764E-01
6175;4.4472883E-01
6200;4.4579758E-01
6225;4.4686389E-01
6250;4.4792778E-01
6275;4.4898926E-01
6300;4.5004832E-01
6325;4.5110498E-01
6350;4.5215925E-01
6375;4.5321113E-01
6400;4.5426063E-01
6425;4.5530775E-01
6450;4.5635251E-01
6475;4.5739491E-01
6500;4.5843496E-01
6525;4.5947266E-01
6550;4.6050803E-01
6575;4.6154106E-01
6600;4.6257177E-01
6625;4.6360016E-01
6650;4.6462623E-01
6675;4.6565001E-01
6700;4.6667148E-01
6725;4.6769067E-01
6750;4.6870757E-01
6775;4.6972219E-01
6800;4.7073454E-01
6825;4.7174463E-01
6850;4.7275245E-01
6875;4.7375803E-01
6900;4.7476135E-01
