time, s;kernel_m_dot_m, 1/s
0;0.0000000E+00
25;6.2646099E-04
50;3.4163584E-04
75;2.6223390E-04
100;2.2235100E-04
125;1.9737998E-04
150;1.7987931E-04
175;1.6674153E-04
200;1.5641094E-04
225;1.4801168E-04
250;1.4100813E-04
275;1.3505190E-04
300;1.2990537E-04
325;1.2540011E-04
350;1.2141300E-04
375;1.1785168E-04
400;1.1464530E-04
425;1.1173848E-04
450;1.0908727E-04
475;1.0665621E-04
500;1.0441638E-04
525;1.0234392E-04
550;1.0041895E-04
575;9.8624725E-05
600;9.6947059E-05
625;9.5373831E-05
650;9.3894606E-05
675;9.2500362E-05
700;9.1183239E-05
725;8.9936354E-05
750;8.8753660E-05
775;8.7629808E-05
800;8.6560054E-05
825;8.5540172E-05
850;8.4566380E-05
875;8.3635285E-05
900;8.2743835E-05
925;8.1889272E-05
950;8.1069095E-05
975;8.0281034E-05
1000;7.9523029E-05
1025;7.8793187E-05
1050;7.8089785E-05
1075;7.7411239E-05
1100;7.6756097E-05
1125;7.6123017E-05
1150;7.5510767E-05
1175;7.4918202E-05
1200;7.4344265E-05
1225;7.3787977E-05
1250;7.3248428E-05
1275;7.2724771E-05
1300;7.2216215E-05
1325;7.1722026E-05
1350;7.1241518E-05
1375;7.0774044E-05
1400;7.0319005E-05
1425;6.9875835E-05
1450;6.9444004E-05
1475;6.9023017E-05
1500;6.8612403E-05
1525;6.8211722E-05
1550;6.7820558E-05
1575;6.7438519E-05
1600;6.7065237E-05
1625;6.6700358E-05
1650;6.6343555E-05
1675;6.5994513E-05
1700;6.5652935E-05
1725;6.5318541E-05
1750;6.4991062E-05
1775;6.4670246E-05
1800;6.4355852E-05
1825;6.4047650E-05
1850;6.3745422E-05
1875;6.3448962E-05
1900;6.3158068E-05
1925;6.2872556E-05
1950;6.2592244E-05
1975;6.2316961E-05
2000;6.2046542E-05
2025;6.1780829E-05
2050;6.1519675E-05
2075;6.1262934E-05
2100;6.1010470E-05
2125;6.0762150E-05
2150;6.0517849E-05
2175;6.0277447E-05
2200;6.0040827E-05
2225;5.9807879E-05
2250;5.9578493E-05
2275;5.9352568E-05
2300;5.9130007E-05
2325;5.8910713E-05
2350;5.8694597E-05
2375;5.8481568E-05
2400;5.8271544E-05
2425;5.8064444E-05
2450;5.7860189E-05
2475;5.7658701E-05
2500;5.7459912E-05
2525;5.7263747E-05
2550;5.7070141E-05
2575;5.6879026E-05
2600;5.6690343E-05
2625;5.6504028E-05
2650;5.6320021E-05
2675;5.6138269E-05
2700;5.5958712E-05
2725;5.5781301E-05
2750;5.5605983E-05
2775;5.5432705E-05
2800;5.5261423E-05
2825;5.5092088E-05
2850;5.4924655E-05
2875;5.4759081E-05
2900;5.4595323E-05
2925;5.4433338E-05
2950;5.4273089E-05
2975;5.4114533E-05
3000;5.3957637E-05
3025;5.3802362E-05
3050;5.3648673E-05
3075;5.3496534E-05
3100;5.3345914E-05
3125;5.3196779E-05
3150;5.3049098E-05
3175;5.2902840E-05
3200;5.2757976E-05
3225;5.2614475E-05
3250;5.2472312E-05
3275;5.2331456E-05
3300;5.2191882E-05
3325;5.2053565E-05
3350;5.1916477E-05
3375;5.1780597E-05
3400;5.1645898E-05
3425;5.1512359E-05
3450;5.1379955E-05
3475;5.1248665E-05
3500;5.1118468E-05
3525;5.0989342E-05
3550;5.0861266E-05
3575;5.0734223E-05
3600;5.0608191E-05
3625;5.0483151E-05
3650;5.0359085E-05
3675;5.0235975E-05
3700;5.0113804E-05
3725;4.9992554E-05
3750;4.9872209E-05
3775;4.9752751E-05
3800;4.9634165E-05
3825;4.9516437E-05
3850;4.9399550E-05
3875;4.9283490E-05
3900;4.9168240E-05
3925;4.9053791E-05
3950;4.8940124E-05
3975;4.8827228E-05
4000;4.8715091E-05
4025;4.8603696E-05
4050;4.8493034E-05
4075;4.8383092E-05
4100;4.8273857E-05
4125;4.8165317E-05
4150;4.8057462E-05
4175;4.7950280E-05
4200;4.7843762E-05
4225;4.7737894E-05
4250;4.7632667E-05
4275;4.7528069E-05
4300;4.7424093E-05
4325;4.7320727E-05
4350;4.7217962E-05
4375;4.7115789E-05
4400;4.7014199E-05
4425;4.6913182E-05
4450;4.6812729E-05
4475;4.6712833E-05
4500;4.6613483E-05
4525;4.6514673E-05
4550;4.6416395E-05
4575;4.6318639E-05
4600;4.6221398E-05
4625;4.6124666E-05
4650;4.6028433E-05
4675;4.5932694E-05
4700;4.5837441E-05
4725;4.5742667E-05
4750;4.5648365E-05
4775;4.5554528E-05
4800;4.5461150E-05
4825;4.5368224E-05
4850;4.5275744E-05
4875;4.5183704E-05
4900;4.5092098E-05
4925;4.5000920E-05
4950;4.4910164E-05
4975;4.4819823E-05
5000;4.4729894E-05
5025;4.4640369E-05
5050;4.4551246E-05
5075;4.4462515E-05
5100;4.4374175E-05
5125;4.4286218E-05
5150;4.4198641E-05
5175;4.4111438E-05
5200;4.4024606E-05
5225;4.3938138E-05
5250;4.3852030E-05
5275;4.3766278E-05
5300;4.3680878E-05
5325;4.3595825E-05
5350;4.3511113E-05
5375;4.3426742E-05
5400;4.3342704E-05
5425;4.3258997E-05
5450;4.3175616E-05
5475;4.3092558E-05
5500;4.3009818E-05
5525;4.2927394E-05
5550;4.2845281E-05
5575;4.2763476E-05
5600;4.2681976E-05
5625;4.2600775E-05
5650;4.2519873E-05
5675;4.2439265E-05
5700;4.2358946E-05
5725;4.2278916E-05
5750;4.2199169E-05
5775;4.2119704E-05
5800;4.2040517E-05
5825;4.1961606E-05
5850;4.1882966E-05
5875;4.1804596E-05
5900;4.1726492E-05
5925;4.1648652E-05
5950;4.1571072E-05
5975;4.1493751E-05
6000;4.1416685E-05
6025;4.1339873E-05
6050;4.1263311E-05
6075;4.1186996E-05
6100;4.1110927E-05
6125;4.1035100E-05
6150;4.0959515E-05
6175;4.0884167E-05
6200;4.0809057E-05
6225;4.0734178E-05
6250;4.0659532E-05
6275;4.0585114E-05
6300;4.0510924E-05
6325;4.0436958E-05
6350;4.0363216E-05
6375;4.0289693E-05
6400;4.0216390E-05
6425;4.0143303E-05
6450;4.0070432E-05
6475;3.9997773E-05
6500;3.9925325E-05
6525;3.9853086E-05
6550;3.9781055E-05
6575;3.9709229E-05
6600;3.9637607E-05
6625;3.9566186E-05
6650;3.9494967E-05
6675;3.9423946E-05
6700;3.9353121E-05
6725;3.9282492E-05
6750;3.9212057E-05
6775;3.9141813E-05
6800;3.9071760E-05
6825;3.9001897E-05
6850;3.8932220E-05
6875;3.8862730E-05
6900;3.8793425E-05
6925;3.8724302E-05
6950;3.8655362E-05
6975;3.8586601E-05
7000;3.8518020E-05
7025;3.8449615E-05
7050;3.8381388E-05
7075;3.8313335E-05
7100;3.8245456E-05
7125;3.8177750E-05
7150;3.8110214E-05
7175;3.8042848E-05
7200;3.7975651E-05
7225;3.7908622E-05
7250;3.7841759E-05
7275;3.7775061E-05
7300;3.7708527E-05
7325;3.7642156E-05
7350;3.7575947E-05
7375;3.7509898E-05
7400;3.7444009E-05
7425;3.7378279E-05
7450;3.7312706E-05
7475;3.7247289E-05
7500;3.7182028E-05
7525;3.7116921E-05
7550;3.7051968E-05
7575;3.6987168E-05
7600;3.6922518E-05
7625;3.6858020E-05
7650;3.6793670E-05
7675;3.6729470E-05
7700;3.6665417E-05
7725;3.6601512E-05
7750;3.6537752E-05
7775;3.6474137E-05
7800;3.6410668E-05
7825;3.6347341E-05
7850;3.6284157E-05
7875;3.6221114E-05
7900;3.6158213E-05
7925;3.6095452E-05
7950;3.6032829E-05
7975;3.5970346E-05
8000;3.5908000E-05
8025;3.5845793E-05
8050;3.5783721E-05
8075;3.5721785E-05
8100;3.5659982E-05
8125;3.5598315E-05
8150;3.5536780E-05
8175;3.5475379E-05
8200;3.5414110E-05
8225;3.5352972E-05
8250;3.5291965E-05
8275;3.5231087E-05
8300;3.5170339E-05
8325;3.5109719E-05
8350;3.5049228E-05
8375;3.4988864E-05
8400;3.4928627E-05
8425;3.4868516E-05
8450;3.4808530E-05
8475;3.4748669E-05
8500;3.4688934E-05
8525;3.4629321E-05
8550;3.4569832E-05
8575;3.4510466E-05
8600;3.4451221E-05
8625;3.4392097E-05
8650;3.4333096E-05
8675;3.4274214E-05
8700;3.4215452E-05
8725;3.4156809E-05
8750;3.4098285E-05
8775;3.4039880E-05
8800;3.3981592E-05
8825;3.3923421E-05
8850;3.3865367E-05
8875;3.3807430E-05
8900;3.3749608E-05
8925;3.3691902E-05
8950;3.3634310E-05
8975;3.3576832E-05
9000;3.3519468E-05
9025;3.3462218E-05
9050;3.3405081E-05
9075;3.3348056E-05
9100;3.3291143E-05
9125;3.3234341E-05
9150;3.3177651E-05
9175;3.3121072E-05
9200;3.3064602E-05
9225;3.3008243E-05
9250;3.2951993E-05
9275;3.2895851E-05
9300;3.2839819E-05
9325;3.2783895E-05
9350;3.2728078E-05
9375;3.2672369E-05
9400;3.2616767E-05
9425;3.2561271E-05
9450;3.2505882E-05
9475;3.2450598E-05
9500;3.2395420E-05
9525;3.2340347E-05
9550;3.2285379E-05
9575;3.2230514E-05
9600;3.2175754E-05
9625;3.2121098E-05
9650;3.2066545E-05
9675;3.2012094E-05
9700;3.1957746E-05
9725;3.1903500E-05
9750;3.1849357E-05
9775;3.1795314E-05
9800;3.1741373E-05
9825;3.1687533E-05
9850;3.1633793E-05
9875;3.1580153E-05
9900;3.1526613E-05
9925;3.1473173E-05
9950;3.1419832E-05
9975;3.1366590E-05
10000;3.1313447E-05
10025;3.1260402E-05
10050;3.1207454E-05
10075;3.1154604E-05
10100;3.1101852E-05
10125;3.1049197E-05
10150;3.0996638E-05
10175;3.0944176E-05
10200;3.0891811E-05
10225;3.0839541E-05
10250;3.0787367E-05
10275;3.0735288E-05
10300;3.0683304E-05
10325;3.0631414E-05
10350;3.0579620E-05
10375;3.0527920E-05
10400;3.0476313E-05
10425;3.0424800E-05
10450;3.0373381E-05
10475;3.0322054E-05
10500;3.0270821E-05
10525;3.0219680E-05
10550;3.0168632E-05
10575;3.0117676E-05
10600;3.0066811E-05
10625;3.0016038E-05
10650;2.9965357E-05
10675;2.9914766E-05
10700;2.9864266E-05
10725;2.9813857E-05
10750;2.9763538E-05
10775;2.9713310E-05
10800;2.9663172E-05
10825;2.9613122E-05
10850;2.9563163E-05
10875;2.9513293E-05
10900;2.9463511E-05
10925;2.9413818E-05
10950;2.9364214E-05
10975;2.9314698E-05
11000;2.9265269E-05
11025;2.9215929E-05
11050;2.9166676E-05
11075;2.9117510E-05
11100;2.9068433E-05
11125;2.9019441E-05
11150;2.8970537E-05
11175;2.8921718E-05
11200;2.8872986E-05
11225;2.8824340E-05
11250;2.8775781E-05
11275;2.8727306E-05
11300;2.8678917E-05
11325;2.8630614E-05
11350;2.8582394E-05
11375;2.8534261E-05
11400;2.8486211E-05
