time, s;kernel_m_m, 1
0;0.0000000E+00
25;6.3525468E-03
50;1.6925810E-02
75;2.4485607E-02
100;3.0685030E-02
125;3.6098974E-02
150;4.0988925E-02
175;4.5497497E-02
200;4.9712307E-02
225;5.3691724E-02
250;5.7476952E-02
275;6.1098369E-02
300;6.4579141E-02
325;6.7937414E-02
350;7.1187721E-02
375;7.4341917E-02
400;7.7409822E-02
425;8.0399683E-02
450;8.3318504E-02
475;8.6172293E-02
500;8.8966253E-02
525;9.1704923E-02
550;9.4392292E-02
575;9.7031889E-02
600;9.9626854E-02
625;1.0217999E-01
650;1.0469383E-01
675;1.0717064E-01
700;1.0961248E-01
725;1.1202124E-01
750;1.1439863E-01
775;1.1674621E-01
800;1.1906543E-01
825;1.2135762E-01
850;1.2362399E-01
875;1.2586569E-01
900;1.2808376E-01
925;1.3027918E-01
950;1.3245287E-01
975;1.3460568E-01
1000;1.3673839E-01
1025;1.3885177E-01
1050;1.4094649E-01
1075;1.4302323E-01
1100;1.4508260E-01
1125;1.4712518E-01
1150;1.4915152E-01
1175;1.5116215E-01
1200;1.5315754E-01
1225;1.5513818E-01
1250;1.5710448E-01
1275;1.5905689E-01
1300;1.6099579E-01
1325;1.6292156E-01
1350;1.6483455E-01
1375;1.6673512E-01
1400;1.6862360E-01
1425;1.7050028E-01
1450;1.7236547E-01
1475;1.7421945E-01
1500;1.7606250E-01
1525;1.7789488E-01
1550;1.7971683E-01
1575;1.8152859E-01
1600;1.8333040E-01
1625;1.8512247E-01
1650;1.8690502E-01
1675;1.8867825E-01
1700;1.9044235E-01
1725;1.9219752E-01
1750;1.9394392E-01
1775;1.9568175E-01
1800;1.9741116E-01
1825;1.9913232E-01
1850;2.0084538E-01
1875;2.0255050E-01
1900;2.0424782E-01
1925;2.0593748E-01
1950;2.0761961E-01
1975;2.0929436E-01
2000;2.1096184E-01
2025;2.1262217E-01
2050;2.1427549E-01
2075;2.1592190E-01
2100;2.1756151E-01
2125;2.1919444E-01
2150;2.2082078E-01
2175;2.2244065E-01
2200;2.2405413E-01
2225;2.2566133E-01
2250;2.2726234E-01
2275;2.2885725E-01
2300;2.3044614E-01
2325;2.3202910E-01
2350;2.3360622E-01
2375;2.3517758E-01
2400;2.3674325E-01
2425;2.3830331E-01
2450;2.3985783E-01
2475;2.4140690E-01
2500;2.4295057E-01
2525;2.4448892E-01
2550;2.4602201E-01
2575;2.4754991E-01
2600;2.4907268E-01
2625;2.5059039E-01
2650;2.5210309E-01
2675;2.5361085E-01
2700;2.5511372E-01
2725;2.5661176E-01
2750;2.5810502E-01
2775;2.5959355E-01
2800;2.6107742E-01
2825;2.6255666E-01
2850;2.6403133E-01
2875;2.6550148E-01
2900;2.6696716E-01
2925;2.6842841E-01
2950;2.6988528E-01
2975;2.7133781E-01
3000;2.7278604E-01
3025;2.7423002E-01
3050;2.7566980E-01
3075;2.7710540E-01
3100;2.7853688E-01
3125;2.7996426E-01
3150;2.8138760E-01
3175;2.8280691E-01
3200;2.8422225E-01
3225;2.8563365E-01
3250;2.8704114E-01
3275;2.8844476E-01
3300;2.8984454E-01
3325;2.9124052E-01
3350;2.9263272E-01
3375;2.9402118E-01
3400;2.9540593E-01
3425;2.9678700E-01
3450;2.9816442E-01
3475;2.9953822E-01
3500;3.0090843E-01
3525;3.0227508E-01
3550;3.0363819E-01
3575;3.0499779E-01
3600;3.0635391E-01
3625;3.0770658E-01
3650;3.0905582E-01
3675;3.1040165E-01
3700;3.1174410E-01
3725;3.1308320E-01
3750;3.1441897E-01
3775;3.1575143E-01
3800;3.1708061E-01
3825;3.1840653E-01
3850;3.1972920E-01
3875;3.2104866E-01
3900;3.2236493E-01
3925;3.2367802E-01
3950;3.2498795E-01
3975;3.2629475E-01
4000;3.2759845E-01
4025;3.2889904E-01
4050;3.3019657E-01
4075;3.3149104E-01
4100;3.3278247E-01
4125;3.3407089E-01
4150;3.3535630E-01
4175;3.3663874E-01
4200;3.3791822E-01
4225;3.3919474E-01
4250;3.4046834E-01
4275;3.4173903E-01
4300;3.4300683E-01
4325;3.4427174E-01
4350;3.4553379E-01
4375;3.4679300E-01
4400;3.4804937E-01
4425;3.4930293E-01
4450;3.5055369E-01
4475;3.5180166E-01
4500;3.5304686E-01
4525;3.5428930E-01
4550;3.5552900E-01
4575;3.5676598E-01
4600;3.5800024E-01
4625;3.5923180E-01
4650;3.6046067E-01
4675;3.6168686E-01
4700;3.6291040E-01
4725;3.6413129E-01
4750;3.6534954E-01
4775;3.6656517E-01
4800;3.6777820E-01
4825;3.6898862E-01
4850;3.7019646E-01
4875;3.7140172E-01
4900;3.7260442E-01
4925;3.7380457E-01
4950;3.7500218E-01
4975;3.7619727E-01
5000;3.7738983E-01
5025;3.7857990E-01
5050;3.7976746E-01
5075;3.8095255E-01
5100;3.8213515E-01
5125;3.8331530E-01
5150;3.8449299E-01
5175;3.8566824E-01
5200;3.8684106E-01
5225;3.8801146E-01
5250;3.8917944E-01
5275;3.9034502E-01
5300;3.9150821E-01
5325;3.9266902E-01
5350;3.9382744E-01
5375;3.9498351E-01
5400;3.9613722E-01
5425;3.9728858E-01
5450;3.9843760E-01
5475;3.9958430E-01
5500;4.0072867E-01
5525;4.0187073E-01
5550;4.0301049E-01
5575;4.0414796E-01
5600;4.0528314E-01
5625;4.0641604E-01
5650;4.0754667E-01
