time, s;kernel_m_dot_m, 1/s
0;0.0000000E+00
25;5.6844573E-04
50;3.6429155E-04
75;2.8527222E-04
100;2.4329796E-04
125;2.1662835E-04
150;1.9781965E-04
175;1.8364814E-04
200;1.7247632E-04
225;1.6337536E-04
250;1.5577457E-04
275;1.4930162E-04
300;1.4370188E-04
325;1.3879459E-04
350;1.3444741E-04
375;1.3056092E-04
400;1.2705879E-04
425;1.2388129E-04
450;1.2098098E-04
475;1.1831958E-04
500;1.1586581E-04
525;1.1359387E-04
550;1.1148223E-04
575;1.0951277E-04
600;1.0767012E-04
625;1.0594114E-04
650;1.0431450E-04
675;1.0278041E-04
700;1.0133034E-04
725;9.9956810E-05
750;9.8653244E-05
775;9.7413826E-05
800;9.6233391E-05
825;9.5107334E-05
850;9.4031539E-05
875;9.3002309E-05
900;9.2016314E-05
925;9.1070544E-05
950;9.0162275E-05
975;8.9289022E-05
1000;8.8448536E-05
1025;8.7638749E-05
1050;8.6857781E-05
1075;8.6103899E-05
1100;8.5375511E-05
1125;8.4671158E-05
1150;8.3989483E-05
1175;8.3329239E-05
1200;8.2689265E-05
1225;8.2068495E-05
1250;8.1465930E-05
1275;8.0880643E-05
1300;8.0311774E-05
1325;7.9758513E-05
1350;7.9220111E-05
1375;7.8695867E-05
1400;7.8185119E-05
1425;7.7687250E-05
1450;7.7201682E-05
1475;7.6727872E-05
1500;7.6265308E-05
1525;7.5813507E-05
1550;7.5372020E-05
1575;7.4940411E-05
1600;7.4518284E-05
1625;7.4105255E-05
1650;7.3700962E-05
1675;7.3305063E-05
1700;7.2917237E-05
1725;7.2537177E-05
1750;7.2164591E-05
1775;7.1799203E-05
1800;7.1440753E-05
1825;7.1088989E-05
1850;7.0743673E-05
1875;7.0404584E-05
1900;7.0071504E-05
1925;6.9744227E-05
1950;6.9422558E-05
1975;6.9106311E-05
2000;6.8795309E-05
2025;6.8489378E-05
2050;6.8188359E-05
2075;6.7892095E-05
2100;6.7600435E-05
2125;6.7313240E-05
2150;6.7030371E-05
2175;6.6751696E-05
2200;6.6477093E-05
2225;6.6206437E-05
2250;6.5939613E-05
2275;6.5676515E-05
2300;6.5417030E-05
2325;6.5161058E-05
2350;6.4908499E-05
2375;6.4659260E-05
2400;6.4413249E-05
2425;6.4170376E-05
2450;6.3930559E-05
2475;6.3693716E-05
2500;6.3459764E-05
2525;6.3228633E-05
2550;6.3000248E-05
2575;6.2774537E-05
2600;6.2551432E-05
2625;6.2330868E-05
2650;6.2112781E-05
2675;6.1897112E-05
2700;6.1683798E-05
2725;6.1472784E-05
2750;6.1264012E-05
2775;6.1057432E-05
2800;6.0852987E-05
2825;6.0650632E-05
2850;6.0450317E-05
2875;6.0251994E-05
2900;6.0055616E-05
2925;5.9861141E-05
2950;5.9668524E-05
2975;5.9477726E-05
3000;5.9288708E-05
3025;5.9101428E-05
3050;5.8915848E-05
3075;5.8731931E-05
3100;5.8549644E-05
3125;5.8368950E-05
3150;5.8189818E-05
3175;5.8012213E-05
3200;5.7836106E-05
3225;5.7661463E-05
3250;5.7488255E-05
3275;5.7316454E-05
3300;5.7146031E-05
3325;5.6976961E-05
3350;5.6809213E-05
3375;5.6642764E-05
3400;5.6477590E-05
3425;5.6313663E-05
3450;5.6150963E-05
3475;5.5989462E-05
3500;5.5829141E-05
3525;5.5669978E-05
3550;5.5511950E-05
3575;5.5355036E-05
3600;5.5199218E-05
3625;5.5044474E-05
3650;5.4890787E-05
3675;5.4738136E-05
3700;5.4586503E-05
3725;5.4435872E-05
3750;5.4286223E-05
3775;5.4137543E-05
3800;5.3989809E-05
3825;5.3843012E-05
3850;5.3697132E-05
3875;5.3552155E-05
3900;5.3408067E-05
